Trial ID,Title,Condition,Intervention,Study Type,Phase,Summary,Eligibility,Enrollment
NCT05512676,Trabectedin/Caelyx vs Cisplatin Hypersensitivity in Relapsed Ovarian Cancer Patients Allergic to Platinum,"Ovarian Neoplasm, Chemotherapeutic Toxicity, Chemotherapy Effect, Chemotherapy-induced Neutropenia, Chemotherapy-induced Nausea and Vomiting",N/A,OBSERVATIONAL,N/A,"Observational, clinical study. Intention to include 40 patients (20 patients treated with trabectedin and 20 with cisplatin hypersensitivity) The investigators investigate the role of trabectedin in combination with PLD and cisplatin in treating platinum sensitive ROC being allergic to carboplatin. The investigators focus on adverse events and evaluate if these are tolerable for the patients and further evaluate the measurable treatment effect on the tumor burden.","Inclusion Criteria:

* Women with recurrent ovarian cancer and
* allergic reaction to carboplatin or
* other serious side effects to carboplatin

Exclusion Criteria:

- Patients not treated with carboplatin previously",40
NCT00896376,Trastuzumab in Treating Women With Metastatic Breast Cancer,Breast Cancer,"trastuzumab, laboratory biomarker analysis, pharmacological study",INTERVENTIONAL,NA,"RATIONALE: Studying samples of blood in the laboratory from patients with cancer may help doctors learn more about changes that occur in DNA and identify biomarkers related to cancer. It may also help doctors predict how patients will respond to treatment.

PURPOSE: This clinical trial is studying the side effects of trastuzumab in treating women with metastatic breast cancer.","DISEASE CHARACTERISTICS:

* Histologically confirmed breast cancer

  * Metastatic disease, defined by the existence of a secondary tumor localization radiologically (i.e., by radiography, CT scan, MRI scan, or ultrasound) or scintigraphically confrimed
* Evaluable disease
* Beginning first-line metastatic treatment with trastuzumab (Herceptin®) with or without chemotherapy
* Primary tumor must overexpress HER2 (IHC 3+ OR IHC 2+ and FISH+ OR FISH+)
* Hormone receptor status not specified
* No brain metastasis

PATIENT CHARACTERISTICS:

* Menopausal status not specified
* Life expectancy \> 3 months
* Able to undergo cardiotoxicity evaluation every 4 months by measuring LVEF via an isotopic method or ultrasound with systematic registration
* No chronic uncontrolled disease
* No heart failure
* No respiratory failure or hypoxemia
* No history of another primary cancer except for basal cell carcinoma of the skin
* No severe uncontrolled infection
* No psychological incapacity

PRIOR CONCURRENT THERAPY:

* See Disease Characteristics",49
NCT00163176,Value of FLT-PET Before and During Radiotherapy in Head and Neck Tumors,Head and Neck Neoplasms,N/A,OBSERVATIONAL,N/A,"Tumor cell proliferation and repopulation contribute to resistance to radiotherapy in head and neck cancer. Up to now, this characteristic is mostly assessed using biopsies acquired during inspection under general anaesthesia before treatment.

18F-FLT-PET (positron emission tomography) is a non-invasive imaging method showing areas of active proliferation. The aim of this study is to assess the value of the functional information gained by 18F-FLT-PET for radiotherapy planning and early tumor response assessment.

Prior to radiotherapy, a planning CT-scan and a 18F-FLT-PET scan are acquired. After approximately two weeks of radiotherapy a further PET scan is obtained.","Inclusion Criteria:

1. Stage II - IV squamous cell carcinoma of the head-and-neck region, treated with radiotherapy or radiochemotherapy with curative intent.
2. 18 years or older
3. Informed consent

Exclusion Criteria:

1. Patients who have undergone surgery as primary tumor therapy.
2. Patients treated with palliative intent.
3. Pregnancy",50
NCT03459976,HE4 is a Beneficial Biomarker in Endometrial Cancer,Endometrial Cancer,evaluate serum level HE4 in endometrial cancer,OBSERVATIONAL,N/A,Evaluation of Serum level of Human Epididymis Secretory Protein 4 (HE4) in Endometrial Cancer and clinical significant it,"Inclusion Criteria:

Age (40 - 70 yr old).

Exclusion Criteria:

1. Age more than 70 yr and less than 40 yr.
2. Abnormal cardiac hematological renal hepatic functions.
3. Breast cancer or other malignancies.
4. Concomitant benign and for malignant adnexal pathologies.
5. Hormonal medication.
6. Patient taking or having chemo-radiotherapy.
7. Patients unfit for surgical intervention.
8. Smoker.",87
NCT05004376,Text-based Colorectal Cancer Prevention Pilot,Colorectal Cancer,Text Messaging,INTERVENTIONAL,NA,"In this project, we intend to conduct a randomized pilot trial of a structured behavioral intervention, grounded in the Theory of Planned Behavior and Self-Determination Theory, to promote adherence of patients aged 45 - 75 to USPSTF colorectal cancer screening recommendations. We will also collect qualitative feedback on perceptions of the intervention to inform its refinement.","Inclusion Criteria:

* Present at Strong Memorial Hospital or Noyes Community Hospital Emergency Departments
* Age 45-75
* English or Spanish speaking
* Capacity to consent

Exclusion Criteria:

* Personal and/or family history of colorectal cancer
* Personal history of inflammatory bowel disease
* History of abdominal or pelvic radiation to treat a prior cancer
* Non-English and Non-Spanish speaking
* Inability to consent
* Lack of text-capable mobile phone and/or inability to use text function",118
NCT05451160,"A Multicenter, Randomized, Parallel-controlled Clinical Trial Protocol to Validate the Safety and Efficacy of a Steep Pulse Therapy System for the Treatment of Liver Tumors",A Steep Pulse Therapy System for the Treatment of Liver Tumors,"steep pulse therapy system, RF Ablation System",INTERVENTIONAL,NA,"This clinical trial is a multicenter, randomized, parallel-controlled study. In this study, patients with liver cancer were selected as the research subjects, and the subjects were randomly divided into the experimental group and the control group. The experimental group used the steep pulse treatment system produced by Zhejiang CuraWay Medical Technology Co., Ltd., and the control group used the RF Ablation System produced by Covidien llc. A total of 5 or 9 visits were planned in this study, namely the screening period (-14-0 days), the day of the first ablation, 2 ± 1 days after the first ablation, 30 ± 5 days after the first ablation, and after the first ablation 90±7 days, the day of secondary ablation, 2±1 days after secondary ablation, 30±5 days after secondary ablation, and 90±7 days after secondary ablation. The complete ablation rate at 30 ± 5 days after the first ablation was used as the main efficacy evaluation index to evaluate the safety and efficacy of the steep pulse therapy system produced by Zhejiang CuraWay Medical Technology Co., Ltd. for liver tumor ablation.","Inclusion Criteria:

1. The age of the patient is between 18-80 years old, and the gender is not limited.
2. For clinically diagnosed liver tumors, the diameter of a single tumor is less than or equal to 5cm; for multiple tumors: the number of tumors is not more than 3, and the largest tumor diameter is less than or equal to 3cm.
3. Patient is able to take care of himself, and ECOG performance status is between 0 and 2 points.
4. Liver function classification Child-Pugh A or B.
5. Expected survival period ≥ 6 months.
6. Patient is able to understand and comply with the trial protocol, and sign the informed consent.

Exclusion Criteria:

1. It is less than 30 days after the end of chemotherapy, radiotherapy, immunotherapy, or targeted therapy.
2. Within 3 months after ablation, patients need to continue treatment with chemotherapy, radiation therapy, immunotherapy, targeted therapy, surgery, or other minimally invasive modalities.
3. patients with severe infectious diseases such as bacteremia and toxemia.
4. patients with uncorrectable coagulation dysfunction (PLT\<40xl09/L).
5. patients with severe heart, brain, lung and other diseases, and patients with severe arrhythmia.
6. patients with implanted artificial hearts, lungs, internal pulse regulators or wearable medical electronic devices such as electrocardiography.
7. Patients with a history of epilepsy.
8. Patients with acute myocardial infarction within 6 months.
9. Pregnant and lactating women and those who plan to become pregnant within one year.
10. Those who are allergic to ultrasound, CT or MRI contrast agents.
11. Those who are contraindicated in general anesthesia.
12. Those who have participated in clinical trials of any drug or medical device within the first 3 months of the group.
13. The researchers believe that there are other factors that are not suitable for inclusion or that affect the participation of subjects in the study.",180
NCT06337760,YOUNg Adults With Gastro-inteSTinal (GI) and nEuroendocrine canceRs.,"Neuroendocrine Neoplasm, Adenocarcinoma",N/A,OBSERVATIONAL,N/A,"The objective of the study is to create a common and unique platform for the acquisition of biological samples and, subsequently, the possible identification of predictive and prognostic biomarkers for young adults with gastrointestinal and neuroendocrine cancers.The definition ""adolescent and young adults (AYA)"" covers a broad group of patients ranging from the upper limit of the paediatric competence to the youngest patients usually considered and treated as adults. However, a well-defined and universally accepted age range is still not established. Young adults with cancer have distinct epidemiological, biological, and clinical characteristics, as well as special medical and psychosocial needs that are often unmet. In consideration of their poor representation in clinical studies, as well as the rarer, albeit increasing, frequency at an epidemiological level, knowledge of the risk factors associated with cancers in young adults is very poor. It is therefore of fundamental importance to focus attention on this specific cohort of patients, in order to describe in ever more detail any specific biomolecular aspects, and make full use of the pharmacological resources currently available.","Inclusion Criteria:

* Age at diagnosis from18 to 39 years of age
* Carcinoma (without limitations for histologic subtypes) from any primary sites: esophagus, stomach, pancreas, biliary tract, liver, small bowel, colon, rectum, anus and cancer of unknown origin
* Neuroendocrine neoplasm (NEN) from Gastroenteropancreatic GEP or lung/thymus origin
* Tumors at any stage at the first visit
* Tumors of any grade
* Histological diagnosis obtained within two years from the time of enrollment or willingness to undergo bioptic procedure for diagnosis

Exclusion Criteria:

* Age at diagnosis \> 39 years old",90
NCT02693860,Neoadjuvant J591 Treatment for Prostate Cancer,Prostate Cancer,"huJ591, 89Zr-J591",INTERVENTIONAL,PHASE1,"10 patients will be enrolled in the initial cohort and will receive two infusions of unlabeled huJ591 on days 1 and 14. 89Zr-J591 will be administered on day 21 (+ 1 day) and a positron emission tomography-computed tomography (PET/CT) will be performed week later on day 28 + 1 (visit 4). Approximately 2 to 3 weeks after the 2nd dose of J591, the patient will undergo radical prostatectomy with or without lymph node dissection (day 31 + 4 days). The final visit for the study will include a postoperative visit two weeks following surgery.","Inclusion Criteria:

1. Adult male \> 18 years of age
2. Histologically confirmed diagnosis of prostate cancer
3. Intermediate or high risk prostate cancer defined by:

   * High risk (any one of the following):

     1. Gleason grade \> 8
     2. Gleason grade 4+3 with more than 3 cores involved with \> 20% of volume involved
     3. Any Gleason with PSA above 20 ng/mL
     4. Gleasone \> 4+3 and tumor stage clinical T3 or above
   * Intermediate risk prostate cancer defined as:

     1. Gleason grade = 7
     2. Any Gleason with PSA between 10 and 20 ng/mL
4. Eastern Cooperative Oncology Group (ECOG) Performance status of 0-1
5. Ability to understand and willingness to sign a written informed consent document
6. Prostate biopsy with + PSMA expression in tumor cells by immunohistochemistry

Exclusion Criteria:

1. Serum creatinine \> 3x upper limit of normal (ULN)
2. Bilirubin (total) \> 1.5 x ULN; subjects with Gilbert's syndrome will be allowed if direct bilirubin is within institutional normal limits
3. Aspartate Aminotransferase (AST) and Alanine Aminotransferase (ALT or SGOT) \> 2.5x ULN
4. Other severe acute or chronic medical condition or laboratory abnormality that may increase the risk associated with study participation
5. On any other new anticancer therapy between screening and prostatectomy
6. Frank metastasis identified during clinical staging
7. Patient ineligible for radical prostatectomy for any other reason",8
NCT00089960,Study of AMG 706 in Subjects With Advanced Gastrointestinal Stromal Tumors (GISTs),Gastrointestinal Cancer,AMG 706,INTERVENTIONAL,PHASE2,This study will determine the safety and effectiveness of AMG 706 in patients with advanced GIST.,"Inclusion Criteria

* Age ≥ 18 years;
* Disease progression per Response Evaluation Criteria in Solid Tumors (RECIST) during previous treatment with imatinib mesylate at least 600 mg daily for at least 8 weeks, as per two independently assessed prestudy computerized tomography (CT) scans;
* Presence of at least one measurable (per RECIST)
* Progressing tumor lesion not previously treated with radiotherapy or embolization and evaluable by CT scan or magnetic resonance imaging (MRI);
* Karnofsky performance status ≥ 60;
* imatinib treatment terminated at least 7 days before study day 1;
* Adequate hepatic, renal, and cardiac function.

Exclusion criteria:

* Prior malignancy (other than GIST, in situ cervical cancer, or basal cell cancer of the skin) unless treated with curative intent and without evidence of disease for ≥ 3 years; cardiac disease including myocardial infarction, unstable angina, and congestive heart failure (New York Heart Association class \> II),
* uncontrolled hypertension (systolic \> 145 mmHg or diastolic \> 85 mmHg),
* History of arterial thrombosis or deep vein thrombosis (including pulmonary embolus) within 1 year of study day 1;
* Absolute neutrophil count \< 1.5x109/L, platelet count \< 100x109/L, hemoglobin \< 9.0 g/dL;
* Prior treatment with motesanib diphosphate or other KIT (except imatinib) or VEGF inhibitors.
* The study was approved by the institutional review board of each participating institution, and all patients provided written informed consent before any study-related procedures were performed.",138
NCT03193060,"A Multi-centre, Prospective, Observational Study on Effectiveness and Safety of ZOLADEX® (Goserelin Acetate Implant) 10.8 mg and ZOLADEX® (Goserelin Acetate Implant) 3.6 mg in Chinese Patients With Localized or Locally Advanced Hormonal Treatment -naïve Prostate Cancer",Localized or Locally Advanced Prostate Cancer,N/A,OBSERVATIONAL,N/A,"This study is a multi-centre, prospective observational study. The study plans to enrol 500 patients with localized or locally advanced prostate cancer who are eligible and intended to be prescribed Zoladex® (goserelin acetate implant) 10.8 mg or Zoladex® (goserelin acetate implant) 3.6 mg as monotherapy or in combination with androgen blockade (CAB) at 50 clinical sites in China. The effectiveness and safety data will be collected at baseline and each visit within 26 weeks after treatment of Zoladex®.","Inclusion Criteria:

1. Ability to provide informed consent, complete all study assessments and have complete medical record;
2. Male aged 18 years and over;
3. Diagnosis of localized or locally advanced prostate cancer requiring immediate hormonal therapy;
4. Being prescribed Zoladex ® (goserelin acetate implant) 10.8 mg or Zoladex ® (goserelin acetate implant) 3.6 mg in accordance with the terms of marketing authorization as monotherapy or in combination with androgen blockade (CAB);
5. More than 26 weeks' life expectancy;

Exclusion Criteria:

1. Patients who are planned to receive radiation therapy;
2. Patients with hypersensitivity to LHRH, its analogues, or any components of goserelin depot;
3. Previous or concurrent hormonal therapy including surgical castration, androgen blockers, oestrogen therapy, or other LHRH agonists.",308
NCT00003760,Irofulvene in Treating Patients With Stage III or Stage IV Pancreatic Cancer,Pancreatic Cancer,irofulven,INTERVENTIONAL,PHASE2,"RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die.

PURPOSE: Phase II trial to study the effectiveness of irofulven in treating patients who have stage III or stage IV pancreatic cancer that cannot be surgically removed.","DISEASE CHARACTERISTICS: Histologically or cytologically confirmed stage III or IV unresectable adenocarcinoma of the exocrine pancreas Must have been treated with 1 prior gemcitabine regimen, and have documented disease progression either during or within 6 months after completion of therapy Measurable or evaluable disease outside of previously irradiated area No islet cell tumors or lymphoma of the pancreas No significant CNS disease

PATIENT CHARACTERISTICS: Age: 18 and over Performance status: Karnofsky 70-100% Life expectancy: At least 12 weeks Hematopoietic: WBC at least 3,000/mm3 Absolute neutrophil count at least 1,500/mm3 Platelet count at least 100,000/mm3 Hemoglobin at least 9 g/dL Hepatic: Bilirubin no greater than 2 mg/dL AST or ALT no greater than 2 times upper limit of normal (ULN) (no greater than 5 times ULN if liver metastases) Renal: Creatinine no greater than 1.5 mg/dL Cardiovascular: No atrial or ventricular arrhythmias requiring medication No atrial fibrillation (with or without medication) No ischemic event within past 6 months No history of congestive heart failure Other: Not pregnant or nursing Fertile patients must use effective contraception No significant psychiatric disorders No active infection No other prior malignancies within past 5 years, except: Basal or squamous cell skin cancer Carcinoma in situ of the cervix No concurrent serious systemic disorder

PRIOR CONCURRENT THERAPY: Biologic therapy: No prior immunotherapy No concurrent immunotherapy Chemotherapy: At least 4 weeks since prior gemcitabine therapy and recovered No other prior chemotherapy (except fluorouracil as a radiation enhancing agent) No other concurrent chemotherapy Endocrine therapy: No prior hormonal therapy No concurrent hormonal therapy (except contraceptives, hormone replacement, or megestrol acetate) Radiotherapy: At least 4 weeks since prior radiotherapy and recovered No concurrent radiotherapy Surgery: Not specified Other: At least 4 weeks since prior investigational agents",3
NCT00002460,Adjuvant Hormone Therapy in Treating Women With Operable Breast Cancer,Breast Cancer,"goserelin acetate, tamoxifen citrate, ablative endocrine surgery, oophorectomy",INTERVENTIONAL,PHASE3,"RATIONALE: Estrogen can stimulate the growth of breast cancer cells. Hormone therapy using tamoxifen may fight breast cancer by blocking the uptake of estrogen.

PURPOSE: Phase III trial to compare the effectiveness of adjuvant therapy using tamoxifen or ovarian ablation with goserelin or both in treating women with stage I or stage II breast cancer.","DISEASE CHARACTERISTICS: Operable, clinical Stage I/II breast cancer (T1-3, N0-1, M0) No evidence of distant metastases on x-ray of chest, spine, and pelvis Bone scan evidence alone of secondary mass allowed unless considered unequivocal evidence of metastasis No primary carcinoma fixed to underlying muscle or chest wall No deeply fixed axillary nodes No ulceration, skin infiltration, or peau d'orange involving more than 1/3 of breast No bilateral tumors Hormone receptor status: Not specified

PATIENT CHARACTERISTICS: Age: Under 50 Sex: Women only Menopausal status: Any status Performance status: Not specified Life expectancy: No limits on life expectancy due to intercurrent illness Hematopoietic: WBC at least 3,000 Platelets at least 90,000 Hemoglobin at least 10 g/dL Hepatic: Normal liver function required Renal: Normal kidney function required Other: Fit for surgery No prior treatment for other malignancies except: Nonmelanomatous skin cancer Cone-biopsied in situ carcinoma of the cervix English-speaking patients eligible for quality-of-life assessments

PRIOR CONCURRENT THERAPY: Biologic therapy: Not specified Chemotherapy: Chemotherapy for high-risk patients allowed at the discretion of the clinician Endocrine therapy: At least 6 weeks since prior hormonal therapy No concomitant hormonal therapy including oral contraceptives (patients must discontinue the pill for 2 years) Radiotherapy: Not specified Surgery: Not specified",N/A
NCT02502760,Using Multimodal Prehabilitation to Improve Outcomes for Frail Patients Undergoing Resection of Colorectal Cancer,Colorectal Neoplasms,"Physical Exercise Program, Whey Protein Isolate Powder, Relaxation Techniques",INTERVENTIONAL,NA,"The purpose of this study is to determine if a program of physical activity, nutritional supplements and relaxation techniques is effective at decreasing post operative complications in frail colorectal cancer patients undergoing resection.","Inclusion Criteria:

* Colorectal cancer patient undergoing resection
* Frail or intermediately frail patients (Fried score 2 and above)

Exclusion Criteria:

* Unable to communicate in French or English
* Premorbid conditions contraindicating physical exercise (dementia, Parkinson Disease, previous stroke with paresis, taking carbidopa/levodopa, donepezil or antidepressants)",120
NCT06710860,AI Assistant for Enhancing Colorectal Cancer Screening Among First-degree Relatives of Patients: a Randomized Trial,"Colonoscopy, Colorectal Cancer, First-degree Relatives",ScreenTalk AI-based tailored communication intervention,INTERVENTIONAL,NA,"Participants in intervention group will receive the ScreenTalk AI-based intervention consisting of 3 sessions: tailored messaging session, open dialogue session, and summary session. The primary outcome, screening uptake will be verified by medical records; and health belief will be measured at baseline, 3, 6 and 12 months.","Inclusion Criteria:

* Age 40 to 75 years or 10 years before the age at which the relative was diagnosed;
* individuals with one FDR with CRC age \<60 years or with two or more FDRs with CRC at any age;
* have not had a colonoscopy within 5 years;
* access to WeChat themselves or through close family members living in the same household;
* able to read and speak Chinese.

Exclusion Criteria:

* Have history of cancer or inflammatory bowel disease;
* have history of a hereditary syndromes (Lynch syndrome or familial adenomatous polyposis);
* recently participate in another study or previously participated in cancer risk counseling or study;
* with doctor-diagnosed psychiatric illness.",344
NCT04145960,Evaluation of Prognostic Monitoring for Women Who Have Completed Standard Treatment for Breast Cancer,Breast Cancer,N/A,OBSERVATIONAL,N/A,The relationship between immune inflammation-related protein complexes in blood and recurrence or metastasis of breast cancer will be studied.,"Inclusion Criteria:

* Female
* Postoperative pathology confirmed invasive breast cancer after surgery for breast tumors
* Breast cancer-related chemotherapy and radiotherapy completed
* axillary lymph node metastasis ≥ 4
* age ≤ 60 years old

Exclusion Criteria:

* Male
* Aged above 60
* Breast Carcinoma in situ
* Women in pregnancy or breastfeeding
* Suffering from other malignant tumors
* Non-compliant patient",200
NCT02613260,Mailed FIT Outreach to Improve Colon Cancer Screening in the Safety-net System,Colonic Neoplasms,FIT Outreach,INTERVENTIONAL,NA,Uptake of colorectal cancer (CRC) screening is suboptimal in the San Francisco Health Network and access to care may be limited so novel models of health care delivery are warranted. The objective of this study is to examine whether a centralized panel management model with mailed fecal immunochemical test (FIT) will be effective at increasing the uptake of CRC screening and could be developed and sustained within the typical parameters of cost-effectiveness and budget impact analyses.,"Inclusion Criteria:

* Asymptomatic men and women
* 50 to 75 years of age

Exclusion Criteria:

* Personal history of polyps requiring colonoscopic surveillance
* Homeless
* Severe co-morbidities limiting life expectancy e.g., advanced stage cancer",13470
NCT05200260,Surgery Combined With Maintenance Targeted Therapy in the Treatment of Advanced Ovarian Cancer,"Ovarian Cancer, Fallopian Tube Cancer, Primary Peritoneal Carcinoma","Primary debulking surgery, Neoadjuvant chemotherapy, PARP inhibitor",INTERVENTIONAL,PHASE2,Optimal Timing of Surgery combined with Maintenance Therapy in the Front-line Treatment of Advanced Ovarian Cancer,"Inclusion Criteria:

* Females aged ≥ 18 years.
* Pathologic confirmed stage IIIC and IV epithelial ovarian cancer, fallopian tube cancer or primary peritoneal carcinoma
* Middle tumor burden and high tumor burden with cPCI score ≤ 12 based on pre-operative PET/CT examination
* Complete cytoreduction can be achieved based on PET/CT examination
* Patients must agree to undergo BRCA (breast cancer gene) and HRD (homologous recombination deficiency) testing
* Performance status (ECOG 0-2)
* Good ASA score (1/2)
* Adequate bone marrow, renal and hepatic function to receive chemotherapy and subsequent surgery:

  1. white blood cells \>3,000/µL, absolute neutrophil count ≥1,500/µL, platelets ≥100,000/µL, hemoglobin ≥9 g/dL,
  2. serum creatinine \<1.25 x upper normal limit (UNL) or creatinine clearance ≥60 mL/min according to Cockroft-Gault formula or to local lab measurement,
  3. serum bilirubin \<1.25 x UNL, AST(SGOT) and ALT(SGPT) \<2.5 x UNL.
* Comply with the study protocol and follow-up.
* Patients who have given their written informed consent.

Exclusion Criteria:

* Non-epithelial ovarian malignancies and borderline tumors
* Low grade ovarian cancer
* Mucinous ovarian cancer
* Complete cytoreduction cannot be achieved according to preoperative evaluation, including pulmonary and hepatic parenchymal metastases, unresectable extensive pleural metastases, multiple thoracic lymph nodes metastases, brain or bone metastases
* Patient has a known hypersensitivity to the components of niraparib or its excipients
* Synchronous or metachronous (within 5 years) malignancy other than carcinoma in situ or breast carcinoma (without any signs of relapse or activity).
* Any other concurrent medical conditions contraindicating surgery or chemotherapy that could compromise the adherence to the protocol.
* Other conditions, such as religious, psychological and other factors, that could interfere with provision of informed consent, compliance to study procedures, or follow-up.",207
NCT03404960,Niraparib + Ipilimumab or Nivolumab in Progression Free Pancreatic Adenocarcinoma After Platinum-Based Chemotherapy,Pancreatic Adenocarcinoma,"Niraparib + Nivolumab, Niraparib + Ipilimumab",INTERVENTIONAL,"PHASE1, PHASE2","The main purpose of this study is to look at the effectiveness, safety, and anti-tumor activity (preventing growth of the tumor) of the drugs Niraparib with either Ipilimumab or Nivolumab on patients and their pancreatic cancer.","Inclusion Criteria:

1. Histologically or cytologically confirmed diagnosis of pancreatic adenocarcinoma with locally advanced or metastatic disease
2. ≥18 years of age
3. Patients must be able to understand the study procedures and agree to participate in the study by providing written informed consent
4. Patients must have received treatment with platinum-based (cisplatin, oxaliplatin or carboplatin) treatment for locally advanced or metastatic pancreatic cancer and have received a minimum of 16 weeks of therapy without evidence of disease progression based on the investigator's opinion. This does not have to be the patient's current treatment.

   * This requires at least stable imaging and a stable or decreasing tumor marker as applicable and as determined by the investigator.
   * If a patient has demonstrated a biochemical and imaging response to platinum therapy and has not progressed within 16 weeks of starting this therapy but had to discontinue platinum prior to 16 weeks for a legitimate medical reason (as determined by the investigator), the patient may still be considered for the trial
5. Patients may have previously failed non-platinum containing therapy or may never have previously progressed on treatment

   * Discontinuation of the platinum component of the regimen for chemotherapy-related toxicity is permissible provided the patient has previously received at least 16 weeks of platinum-based therapy without evidence of disease progression ≤8 weeks after treatment with the platinum agent
6. Measurable disease is not a requirement for study entry
7. Female participant has a negative serum pregnancy test within 24 hours prior to taking study treatment if of childbearing potential and agrees to abstain from activities that could result in pregnancy from screening through 6 months after the last dose of study treatment, or is of nonchildbearing potential
8. Male patient agrees to use an adequate method of contraception starting with the first dose through 90 days after the last dose of study treatment
9. Adequate organ function confirmed by the following laboratory values obtained ≤7 days prior to the first day of study therapy:

   * Absolute neutrophil count (ANC) ≥1.5 x 109/L
   * Platelets\>100 x 109/L
   * Hemoglobin ≥9g/dL
   * Aspartate aminotransferase (AST) and alanine aminotransferase (ALT) ≤3 x upper limit of normal (ULN); if liver metastases, then ≤5 x ULN
   * Total bilirubin ≤1.5 x ULN; if liver metastases or metabolic disorder such as Gilbert's syndrome, then ≤2.5 x ULN.
   * Serum creatinine ≤1.5 x ULN or estimated glomerular filtration rate (GFR) ≥45 mL/min using Cockcroft Gault formula.
10. Eastern Cooperative Oncology (ECOG) performance status of 0 to 1.

Exclusion Criteria:

1. Prior treatment with a PARP inhibitor, ipilimumab, nivolumab or other cytotoxic T-lymphocyte-associated protein (CTLA-4), PD-1 or PD-L1 inhibitor.
2. Patients who have demonstrated resistance to platinum agents (e.g. oxaliplatin, cisplatin) are not eligible to participate in this study
3. Clinical evidence of uncontrolled malabsorption and/or any other gastrointestinal disorder or defect that would, in the opinion of the investigator, interfere with the absorption of niraparib
4. Acute infection requiring intravenous antibiotics, antiviral or antifungal agents during the 14 days prior to first dose of study therapy
5. Patients will be excluded if they have an active, known or suspected autoimmune disease, defined as: patients with a history of inflammatory bowel disease are excluded from this study, as are patients with a history of symptomatic autoimmune disease (e.g. rheumatoid arthritis, systemic progressive sclerosis (scleroderma), systemic lupus erythematosus, autoimmune vasculitis e.g. Wegener's Granulomatosis); motor neuropathy considered of autoimmune origin (e.g. Guillain-Barre Syndrome).

   NOTE: Patients are permitted to enroll if they have vitiligo, type I diabetes mellitus, residual hypothyroidism due to autoimmune condition only requiring hormone replacement, psoriasis not requiring systemic treatment, or conditions not expected to recur in the absence of an external trigger.
6. Has a history of interstitial lung disease or active, non-infectious pneumonitis
7. Has received a live vaccine within 4 weeks prior to the first dose of trial therapy (Note: seasonal influenza vaccines for injection are generally inactivated and are allowed; however intranasal influenza vaccines (e.g. Flu-Mist) are live attenuated vaccines and are not allowed
8. For fertile patient (female able to become pregnant or male able to father a child), refusal to use effective contraception during the period of the trial and:

   * Female patients refusing to use effective contraception for 6 months after the last dose of study drug.
   * Male patients refusing to use effective contraception for 90 days after the last dose of study drug.
9. Received any systemic treatment for pancreatic cancer ≤14 days prior to first dose of therapy. Patients must not have had investigational therapy administered ≤4 weeks, or within a time interval less than at least 5 half-lives of the investigational agent, whichever is longer, prior to the first scheduled day of dosing in this study
10. Patients will be excluded if they have a condition requiring systemic treatment with either corticosteroids (\>10mg daily prednisone equivalents) or other immunosuppressive medications within 14 days of study drug administration. Inhaled or topical steroids and adrenal replacement doses \>10mg daily prednisone equivalents are permitted in the absence of active autoimmune disease.
11. Patient has had any known Grade 3 or 4 anemia, neutropenia or thrombocytopenia due to prior chemotherapy that persisted \> 4 weeks and was related to the most recent treatment.
12. Non-study related minor surgical procedure ≤5 days, or major surgical procedure ≤21 days, prior to the first dose of therapy; in all cases, patients must be sufficiently recovered and stable before treatment administration.
13. Active drug or alcohol use or dependence that would interfere with study compliance.
14. Presence of any other condition that may increase the risk associated with study participation or may interfere with the interpretation of study results, and, in the opinion of the investigator, would make the patient inappropriate for entry into the study.
15. Patient must not have any known history of myelodysplastic syndrome (MDS) or acute myeloid leukemia (AML)
16. Patients must not be simultaneously enrolled in any therapeutic clinical trial
17. Patients must not have had radiotherapy within 4 weeks of the first dose of study treatment
18. Patients must not have a known hypersensitivity to the components of niraparib or the excipients
19. Patients must not have received a transfusion (platelets or red blood cells) ≤ 4 weeks of the first dose of study treatment
20. Patients must not be undergoing treatment for an active cancer at the time of randomization. Exceptions include: local therapies for skin cancers and hormonal therapies for breast or prostate cancer.
21. Patients must not have a history of positive test for human immunodeficiency virus (HIV) or known acquired immunodeficiency syndrome (AIDS), and must not test positive for HIV during study screening.
22. Patients must not have known, symptomatic brain or leptomeningeal metastases",104
