Trial ID,Title,Condition,Intervention,Study Type,Phase,Summary,Eligibility,Enrollment,Cleaned_Summary
NCT05025631,A Phase II Study on Dose Optimization of Fruquintinib in Elderly mCRC Patients Refractory to Standard Treatment（DOFEMCRC）,Colorectal Cancer,Fruquintinib,INTERVENTIONAL,PHASE2,A Phase II study on dose optimization of fruquintinib in elderly metastatic colorectal cancer patients refractory to standard treatment.,"Inclusion Criteria:

1. 65 years and older;
2. Histologically or cytologically confirmed unresectable metastatic colorectal cancer refractory to or unfit for standard therapies;
3. ECOG PS 0-1;
4. At least 4 weeks after the last anti-tumor therapy (chemotherapy, radiotherapy, biotherapy or hormone therapy) and more than 3 months after operation treatment before enrollment;
5. Life expectancy ≥ 3 months;
6. Cooperative in observation of adverse events and curative effect;
7. No other anti-tumor concomitant treatment (including steroid drugs);
8. Adequate organ and bone marrow functions;
9. At least one measurable lesion(s);
10. Signed the written informed consent and completed the geriatric questionnaire (G8 screening form) at the time of enrollment.

Exclusion Criteria:

1. Active upper gastrointestinal ulcer, obvious vomiting, chronic diarrhea, intestinal obstruction, absorption disorder, etc which may affect drug absorption, distribution, metabolism, or clearance;
2. Evidence of central nervous system metastasis;
3. One of the following complications: uncontrolled hypertension, coronary artery disease, arrhythmia and heart failure;
4. Abuse of alcohol or drugs;
5. Less than 4 weeks from the last clinical trial;
6. Previous treatment with VEGFR inhibitors;
7. Severe uncontrolled disability with concurrent infection;
8. Proteinuria ≥ 2 + (1.0g / 24hr);
9. Uncontrollable gastrointestinal bleeding;
10. Arterial / venous thromboembolic events such as cerebrovascular accident (including transient ischemic attack) occurred within 12 months before the first dose;
11. Acute myocardial infarction, acute coronary syndrome or coronary artery bypass grafting occurred within 6 months before the first dose;
12. Fracture or wound that has not been cured for a long time;
13. Coagulation dysfunction, bleeding tendency or receiving anticoagulation treatment;
14. Congenital or acquired immune deficiency (such as HIV infection), or active hepatitis (HBV DNA ≥ 103copies / ml after regular antiviral therapy);
15. Patients who are not suitable for the study judged by the researchers.",29.0,phase ii study dose optimization fruquintinib elderly metastatic colorectal cancer patients refractory standard treatment
NCT06195527,PEMBRO-K : Evaluation of Pembrolizumab Therapeutic Pharmacological Monitoring Benefit in NSCLC,Non Small Cell Lung Cancer,,OBSERVATIONAL,,"Solid cancers and their therapeutic management remain a major public health problem due to their increasing prevalence and associated mortality. Among solid cancers, lung cancer ranks 4th among incident cancers. The prognosis remains poor, 33,117 deaths were recorded in France in 2018. Two histological forms of bronchopulmonary cancer are distinguished: non-small cell lung cancers (NSCLC), which represent 85% of bronchopulmonary cancer, and small cell lung cancers. The most common forms of NSCLC are adenocarcinoma, squamous cell carcinoma and large cell carcinoma.

The emergence of new so-called targeted therapies has considerably modified the management and prognosis of oncology patients and in particular of patients with NSCLC. These new molecules were developed following the molecular characterization of tumors on the one hand and on the other hand the characterization of the role of immunity in anti-tumor defense, particularly the Programmed Death receptor pathway 1 (PD-1). Blocking this pathway restores the anti-tumor potential of these lymphocytes. Pembrolizumab is a humanized monoclonal antibody that binds to the PD-1 receptor and blocks its interaction with the Programmed Death Ligand-1 (PDL1) and Programmed Death Ligand-2 (PDL2), expressed by tumor cells but also by cells in the microenvironment. tumor and by antigen-presenting cells. Pembrolizumab thus potentiates T cell responses, including anti-tumor responses, by blocking the binding of PD-1 with PDL1 and PDL2.

Pembrolizumab currently has marketing authorization (MA) for the treatment of NSCLC. Despite therapeutic progress due, among other things, to the emergence of anti-PD-1 antibodies including pembrolizumab, the prognosis of NSCLC remains poor and the use of pembrolizumab is sometimes limited by the occurrence of adverse effects.

The pharmacokinetics of pembrolizumab was studied pre-marketing in patients with melanoma, NSCLC or metastatic or unresectable carcinomas. However, there are no data relating to the pharmacokinetic (PK) / clinical response (pharmacodynamic / PD) relationship of pembrolizumab, in real life. No prospective pharmacological study has in fact been published to date, especially in patients treated as part of the management of NSCLC. The absence of such studies - in real life - constitutes a pitfall given the existence of a possible association between PK data and the clinical response and/or toxicity of pembrolizumab.","Inclusion Criteria:

* 18 years or more
* patient with NSCLC
* pembrolizumab treatment (monotherapy or not) with a placed line (peripheral catheter, PICC or implantable port)

Exclusion Criteria:

* objection to participate in the study
* patient under judicial protection",75.0,solid cancers therapeutic management remain major public health problem due increasing prevalence associated mortality among solid cancers lung cancer ranks 4th among incident cancers prognosis remains poor 33117 deaths recorded france 2018 two histological forms bronchopulmonary cancer distinguished nonsmall cell lung cancers nsclc represent 85 bronchopulmonary cancer small cell lung cancers common forms nsclc adenocarcinoma squamous cell carcinoma large cell carcinoma emergence new socalled targeted therapies considerably modified management prognosis oncology patients particular patients nsclc new molecules developed following molecular characterization tumors one hand hand characterization role immunity antitumor defense particularly programmed death receptor pathway 1 pd1 blocking pathway restores antitumor potential lymphocytes pembrolizumab humanized monoclonal antibody binds pd1 receptor blocks interaction programmed death ligand1 pdl1 programmed death ligand2 pdl2 expressed tumor cells also cells microenvironment tumor antigenpresenting cells pembrolizumab thus potentiates cell responses including antitumor responses blocking binding pd1 pdl1 pdl2 pembrolizumab currently marketing authorization treatment nsclc despite therapeutic progress due among things emergence antipd1 antibodies including pembrolizumab prognosis nsclc remains poor use pembrolizumab sometimes limited occurrence adverse effects pharmacokinetics pembrolizumab studied premarketing patients melanoma nsclc metastatic unresectable carcinomas however data relating pharmacokinetic pk   clinical response pharmacodynamic   pd relationship pembrolizumab real life prospective pharmacological study fact published date especially patients treated part management nsclc absence studies   real life   constitutes pitfall given existence possible association pk data clinical response andor toxicity pembrolizumab
NCT01374373,Epoetin Alfa (Hemax®) Phase IV Study in Chemotherapy Induced Anemia,Antineoplastic Chemotherapy Induced Anemia,Epoetin alfa,INTERVENTIONAL,PHASE4,The purpose of this study is to assess safety and efficacy of weekly epoetin alfa (Hemax® ) administered for 12 weeks in patients with non curable solid tumors or lymphoma with anemia (hemoglobin \< 10g/dl) undergoing palliative care chemotherapy.,"Inclusion Criteria:

* Confirmed diagnosis of non curable cancer or lymphoma
* Receiving a palliative chemotherapy regimen
* Hemoglobin \< 10.0 g/dL
* Performance ≤ 3 of Eastern Cooperative Oncology Group (ECOG) performance status
* Life expectancy of ≥ 3 months
* Postmenopausal o premenopausal women receiving effective contraceptive method

Exclusion Criteria:

* Active bleeding that may have caused anemia in the prior 30 days.
* Uncontrolled hypertension
* Anemia for another cause other than cancer or chemotherapy
* Untreated iron or folic acid deficiency
* Transfusion in the last 30 days prior to baseline visit
* Treatment with an erythropoiesis stimulating agent 3 months prior to the baseline visit
* Increased risk of thromboembolic disease
* Radiotherapy in pelvis or spine in the last 60 days
* Myelodysplasic syndrome
* History of congestive heart failure
* Pregnant or lactating
* Patient with known allergy to human albumin or related products",30.0,purpose study assess safety efficacy weekly epoetin alfa hemax   administered 12 weeks patients non curable solid tumors lymphoma anemia hemoglobin   10gdl undergoing palliative care chemotherapy
NCT03943173,"Olaparib in Treating Patients With Newly Diagnosed BRCA-Mutant Ovarian, Primary Peritoneal, or Fallopian Cancer Before Surgery","BRCA-Mutated Ovarian Carcinoma, BRCA1 Gene Mutation, BRCA2 Gene Mutation, High Grade Fallopian Tube Serous Adenocarcinoma, High Grade Ovarian Serous Adenocarcinoma, Primary Peritoneal High Grade Serous Adenocarcinoma, Stage III Fallopian Tube Cancer AJCC v8, Stage III Ovarian Cancer AJCC v8, Stage III Primary Peritoneal Cancer AJCC v8, Stage IIIA Fallopian Tube Cancer AJCC v8, Stage IIIA Ovarian Cancer AJCC v8, Stage IIIA Primary Peritoneal Cancer AJCC v8, Stage IIIA1 Fallopian Tube Cancer AJCC v8, Stage IIIA1 Ovarian Cancer AJCC v8, Stage IIIA2 Fallopian Tube Cancer AJCC v8, Stage IIIA2 Ovarian Cancer AJCC v8, Stage IIIB Fallopian Tube Cancer AJCC v8, Stage IIIB Ovarian Cancer AJCC v8, Stage IIIB Primary Peritoneal Cancer AJCC v8, Stage IIIC Fallopian Tube Cancer AJCC v8, Stage IIIC Ovarian Cancer AJCC v8, Stage IIIC Primary Peritoneal Cancer AJCC v8, Stage IV Fallopian Tube Cancer AJCC v8, Stage IV Ovarian Cancer AJCC v8, Stage IV Primary Peritoneal Cancer AJCC v8, Stage IVA Fallopian Tube Cancer AJCC v8, Stage IVA Ovarian Cancer AJCC v8, Stage IVA Primary Peritoneal Cancer AJCC v8, Stage IVB Fallopian Tube Cancer AJCC v8, Stage IVB Ovarian Cancer AJCC v8, Stage IVB Primary Peritoneal Cancer AJCC v8","Chemotherapy, Olaparib, Therapeutic Conventional Surgery",INTERVENTIONAL,EARLY_PHASE1,"This early phase I trial studies how well olaparib works in treating patients with newly diagnosed BRCA-mutant ovarian, primary peritoneal, or fallopian cancer before surgery. Olaparib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.","Inclusion Criteria:

* Written informed consent and any locally-required authorization (e.g., Health Insurance Portability and Accountability Act \[HIPAA\] in the United States of America \[USA\]) obtained from the subject prior to performing any protocol-related procedures, including screening evaluations
* Histology showing high-grade epithelial non-mucinous ovarian, primary peritoneal, or fallopian tube cancer
* Documented BRCA pathway mutations
* No prior treatment for primary advanced (stage III or IV) epithelial ovarian, primary peritoneal, or fallopian tube carcinoma such as irradiation, chemotherapy, hormonal therapy, immunotherapy, investigational therapy, surgery, and/or other concurrent agents or therapies
* A disposition to neoadjuvant chemotherapy (NACT) with planned interval tumor reductive surgery after 3 complete cycles of treatment
* Have measurable disease based on RECIST version 1.1 or evaluable disease. Measurable disease is defined at least one lesion that can be accurately measured in at least one dimension (longest dimension to be recorded). Each ""target"" lesion must be \> 20 mm when measured by conventional techniques, including palpation, plain x-ray, computed tomography (CT), and magnetic resonance imaging (MRI), or \> 10 mm when measured by spiral CT. Evaluable disease includes nonmeasurable lesions, ascites, pleural effusion
* Peripheral neuropathy grade 0 or 1 by Common Terminology Criteria for Adverse Events (CTCAE) version (v)5.0
* Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1
* Life expectancy of \>= 16 weeks
* Postmenopausal or evidence of non-childbearing status for women of childbearing potential: negative urine or serum pregnancy test within 28 days of study treatment and confirmed prior to treatment on day 1. Postmenopausal is defined as: amenorrheic for 1 year or more following cessation of exogenous hormonal treatments, luteinizing hormone (LH) and follicle stimulating hormone (FSH) levels in the postmenopausal range for women under 50, radiation-induced oophorectomy with last menses \> 1 year ago, chemotherapy-induced menopause with \> 1 year interval since last menses, or surgical sterilization (bilateral oophorectomy or hysterectomy). Women of childbearing potential (WoCBP) must utilize acceptable contraception for two weeks before the first dose of olaparib, for the duration of the study, and for at least 6 months after the last dose of olaparib
* Hemoglobin \>= 10.0 g/dL (with no blood transfusion in the past 28 days) (measured within 28 days prior to administration of study treatment)
* Absolute neutrophil count (ANC) \>= 1.5 x 109/L (\> 1500 per mm3) (measured within 28 days prior to administration of study treatment)
* Platelet count \>= 100 x 109/L (\> 100,000 per mm3) (measured within 28 days prior to administration of study treatment)
* Serum bilirubin =\< 1.5 x institutional upper limit of normal (ULN) (measured within 28 days prior to administration of study treatment)
* Aspartate aminotransferase (AST) (serum glutamic-oxaloacetic transaminase \[SGOT\])/alanine aminotransferase (ALT) (serum glutamate pyruvate transaminase \[SGPT\]) =\< 2.5 x ULN unless liver metastases are present, in which case it must be =\< 5 x ULN (measured within 28 days prior to administration of study treatment)
* Serum creatinine clearance (CrCL) \>= 51 mL/min by the Cockcroft-Gault formula or by 24-hour urine collection for determination of CrCL (measured within 28 days prior to administration of study treatment)

Exclusion Criteria:

* Involvement in the planning and/or conduct of the study (applies to both AstraZeneca staff and/or staff at the study site)
* Previous enrollment in the present study
* Prior treatment for ovarian, fallopian tube, or primary peritoneal cancer
* Histology showing mucinous or low grade epithelial carcinoma
* Participation in another clinical study with an investigational product (IP) during the last 4 weeks
* History of another primary malignancy except for: malignancy treated with curative intent and with no known active disease \>= 5 years before the first dose of study drug and of low potential risk for recurrence, adequately treated non-melanoma skin cancer or lentigo maligna without evidence of disease, and/or adequately treated carcinoma in situ without evidence of disease e.g., cervical cancer in situ
* Resting electrocardiogram (ECG) indicating uncontrolled, potentially reversible cardiac conditions, as judged by the investigator (e.g., unstable ischemia, uncontrolled symptomatic arrhythmia, congestive heart failure, mean QT interval corrected for heart rate with Fridericia's correction (QTcF) prolongation \> 500 ms, electrolyte disturbances, etc.), or patients with congenital long QT syndrome
* Any unresolved toxicity (\> CTCAE grade 2) from previous anti-cancer therapy, excluding alopecia
* History of hypersensitivity to olaparib or its excipients
* Uncontrolled intercurrent illness including, but not limited to, ongoing or active infection, symptomatic congestive heart failure, uncontrolled hypertension, unstable angina pectoris, cardiac arrhythmia, active peptic ulcer disease or gastritis, active bleeding diatheses including any subject known to have evidence of acute or chronic hepatitis B, hepatitis C or human immunodeficiency virus (HIV) or otherwise immunocompromised subjects, or psychiatric illness/social situations that would limit compliance with study requirements or compromise the ability of the subject to give written informed consent
* History of leptomeningeal carcinomatosis
* Subjects who are pregnant and/or breast-feeding
* Any condition that, in the opinion of the investigator, would interfere with evaluation of study treatment or interpretation of subject safety or study results
* Symptomatic or uncontrolled brain metastases requiring concurrent treatment, inclusive of but not limited to surgery, radiation and/or corticosteroids. The subject can receive a stable dose of corticosteroids before and during the study as long as these were started at least 4 weeks prior to treatment. Patients with spinal cord compression unless considered to have received definitive treatment for this and evidence of clinically stable disease for 28 days
* Subjects with uncontrolled seizures
* Patients with myelodysplastic syndrome/acute myeloid leukemia or with features suggestive of myelodysplastic syndrome/acute myeloid leukemia (MDS/AML)
* Patients unable to swallow orally administered medication and patients with gastrointestinal disorders likely to interfere with absorption of the study medication
* Any previous treatment with PARP inhibitor, including olaparib
* Concomitant use of known strong CYP3A inhibitors (e.g. itraconazole, telithromycin, clarithromycin, protease inhibitors boosted with ritonavir or cobicistat, indinavir, saquinavir, nelfinavir, boceprevir, telaprevir) or moderate CYP3A inhibitors (e.g. ciprofloxacin, erythromycin, diltiazem, fluconazole, verapamil). The required washout period prior to starting olaparib is 2 weeks
* Concomitant use of known strong (e.g. phenobarbital, enzalutamide, phenytoin, rifampicin, rifabutin, rifapentine, carbamazepine, nevirapine and St John's wort ) or moderate CYP3A inducers (e.g. bosentan, efavirenz, modafinil). The required washout period prior to starting olaparib is 5 weeks for enzalutamide or phenobarbital and 3 weeks for other agents
* Major surgery within 2 weeks of starting study treatment and patients must have recovered from any effects of any major surgery
* Previous allogeneic bone marrow transplant or double umbilical cord blood transplantation (dUCBT)
* Whole blood transfusions in the last 120 days prior to entry to the study (packed red blood cells and platelet transfusions are acceptable outside of 28 days prior to treatment)
* Non-English speakers will be excluded from participating in the patient-reported outcomes component of the study",15.0,early phase trial studies well olaparib works treating patients newly diagnosed brcamutant ovarian primary peritoneal fallopian cancer surgery olaparib may stop growth tumor cells blocking enzymes needed cell growth
NCT00455273,Dynamic Breast MRI in Assessing Locally Advanced Breast Cancer,Locally Advanced Breast Cancer,,OBSERVATIONAL,,"The project outline which follows is a pilot investigation aimed at improving MRI parameters in DCE-MRI to optimize the detection of treatment responses in LABC.

The primary objective is to define the activity of neoadjuvant chemotherapy in patients with biopsy proven operable breast cancer. Secondary objectives include evaluating a new MRI pulse sequence to optimize DCE-MRI of LABC responses.","Inclusion Criteria:

* Women with locally Advanced Breast Cancer

Exclusion Criteria:

* Contraindications to MRI",5.0,project outline follows pilot investigation aimed improving mri parameters dcemri optimize detection treatment responses labc primary objective define activity neoadjuvant chemotherapy patients biopsy proven operable breast cancer secondary objectives include evaluating new mri pulse sequence optimize dcemri labc responses
NCT05656573,CART-PSMA Cells for Advanced Prostate Cancer,Prostate Cancer,CART-PSMA cells,INTERVENTIONAL,PHASE1,"This is a single center, open-label phase 1 study to assess the safety and feasibility of PSMA-specific CAR modified autologous T cells (CART-PSMA cells) in patients with advanced prostate cancer.","Inclusion Criteria:

1. All participants must have the ability to understand and the willingness to sign a written informed consent.
2. Histologic confirmation of prostate cancer.
3. Tumor expressing PSMA as demonstrated by immunohistochemistry analysis or other methods.
4. Eastern Cooperative Oncology Group (ECOG) performance status 0 - 2.
5. Under general air conditions, blood oxygen saturation \>90%.
6. Adequate liver function, specifically alanine aminotransferase (ALT) \< 3 times of upper limit of normal (ULN), aspartate transferase (AST)\< 3 times of ULN, serum bilirubin and alkaline phosphatase \< 2 times of ULN.
7. Adequate renal function, specifically serum creatinine \< 2.0 mg/dl.
8. Adequate cardiac function, specifically left ventricular ejection fraction (LVEF)≥50%.
9. Hemoglobin concentration ≥80g/L.
10. The side effects brought by the latest treatment should be recovered, and the latest chemotherapy should be at least 7 days before; At least three t½ have passed since the latest immunotherapy.

Exclusion Criteria:

1. Patients with other malignant tumors or major diseases.
2. Patients who are already undergoing other clinical drug trials or other gene therapy or cell therapy.
3. Patients with uncontrolled active infection.
4. Patients with active hepatitis B or hepatitis C infection.
5. Patients with human immunodeficiency virus (HIV) infection.
6. Patients who are being treated with immunosuppressive agents or systemic steroids (other than inhalation therapy).
7. Patients with various types of serious heart disease or a history of severe cerebrovascular disease.
8. Patients with congenital immune deficiency diseases or bone marrow deficiency diseases.
9. Patients with active autoimmune disease, including connective tissue disease, uveitis, inflammatory bowel disease, or multiple sclerosis; or a history of severe (as judged by the physician-investigator) autoimmune disease requiring prolonged immunosuppressive therapy.
10. Patients with active medical condition that, in the opinion of the physician-investigator, would substantially increase the risk of uncontrollable CRS (cytokine release syndrome) or CAR Neurotoxicity.",20.0,single center openlabel phase 1 study assess safety feasibility psmaspecific car modified autologous cells cartpsma cells patients advanced prostate cancer
NCT03546673,Health Benefits of Expressive Writing: Study One,"Breast Cancer, Breast Neoplasm","Self-Regulation Condition, Emotional Disclosure Condition",INTERVENTIONAL,,"This study is a randomized controlled trial (RCT) with the aim of determining the cultural sensitivity, feasibility, and effectiveness of an expressive writing intervention for Chinese breast cancer survivors.","Inclusion Criteria:

* 1) having a breast cancer diagnosis
* 2) completing primary medical treatment within four years
* 3) being comfortable writing and speaking Chinese (i.e. Mandarin or Cantonese)",96.0,study randomized controlled trial rct aim determining cultural sensitivity feasibility effectiveness expressive writing intervention chinese breast cancer survivors
NCT00955773,A Study of the GSK MEK Inhibitor GSK1120212 and Everolimus in Cancer Subjects,Cancer,GSK1120212 plus everolimus,INTERVENTIONAL,PHASE1,"The purpose of this study is to determine the recommended dose and regimen for the orally administered MEK inhibitor GSK1120212 dosed in combination with everolimus in subjects with solid tumors. The escalation part of the study will determine the MTD. The combination will be further explored in the expansion part in subjects with metastatic pancreatic cancer. In addition, subjects with KRAS mutant non-small cell lung cancer will be enrolled.","Inclusion Criteria:

* Capable of giving written informed consent, which includes compliance with the requirements and restrictions listed in the consent form.
* Age 18 years old or older and able to swallow oral medication.
* Performance Status score of 0 or 1 according to the Eastern Cooperative Oncology (ECOG) scale for Dose Escalation Cohort. Subjects with ECOG of 2 can be enrolled for expansion cohort.
* Tumor Type criteria as listed in the protocol
* Fasting glucose \< 126mg/dL
* Male subjects must agree to use one of the contraception methods listed in the protocol.
* A female subject is eligible to participate if she is of non-childbearing potential, and if she is of childbearing potential she must use protocol defined contraception methods.
* Calcium phosphate product less than or equal to 4.0 mmol2/L2 (50 mg2/dL2)
* Adequate organ system function as defined below in the protocol.

Exclusion Criteria:

* Malignancies related to HIV or solid organ transplant.
* Primary malignant brain tumors.
* Chemotherapy, radiotherapy, or immunotherapy within 28 days (or 42 days for prior nitrosoureas or mitomycin C) prior to the first dose of GSK1120212. Chemotherapy regimens given continuously or on a weekly basis with limited potential for delayed toxicity are permitted with approval of a GSK Medical Monitor if dosing of that agent is terminated at least 14 days prior to the first dose of GSK1120212.
* Use of an investigational anti-cancer drug within 28 days or 5 half-lives, whichever is shorter preceding the first dose of GSK1120212 - as long as a minimum of 14 days has passed between the last dose of the prior investigational anti-cancer drug and the first dose of GSK1120212.
* Previous treatment with an mTOR inhibitor unless approved by GSK Medical Monitor.
* Previous treatment with GSK1120212.
* History of sensitivity to any of the study medications, or components thereof or a history of drug or other allergy that, in the opinion of the investigator or GSK Medical Monitor, contraindicates their participation.
* Known immediate or delayed hypersensitivity reaction or idiosyncrasy to drugs chemically related to the study drug, DMSO, or excipients. (To date there are no known FDA approved drugs chemically related to GSK1120212).
* Use of a prohibited medication (as defined in the protocol).
* Current use of anticoagulants (e.g. warfarin, heparin) at therapeutic levels within seven days prior to the first dose of GSK1120212. Low dose (prophylactic) low molecular weight heparin (LMWH) is permitted provided that subject's PT and PTT meet entry criteria. Subjects required therapeutic levels of LMWH must receive approval from GSK Medical Monitor and monitored appropriately as clinically indicated.
* Gastrointestinal disease predicted to interfere with absorption of an oral drug, systemic disease, major surgery, or social/psychological issues that in the opinion of investigators would jeopardize compliance with protocol.
* History of retinal vein occlusion (RVO) or central serous retinopathy (CSR).
* Predisposing factors to RVO including uncontrolled hypertension, uncontrolled diabetes, uncontrolled hyperlipidemia, and coagulopathy.
* Visible retinal pathology as assessed by ophthalmologic exam that is considered a risk factor for RVO or CSR.
* Intraocular pressure \> 21mm Hg as measured by tonography.
* Glaucoma diagnosed within 1 month prior to study Day 1.
* Symptomatic or untreated leptomeningeal or brain metastases or spinal cord compression. Subjects previously treated for these conditions that are asymptomatic and off corticosteroids for at least two weeks are permitted. Subjects are not permitted to receive enzyme inducing anti-epileptic drugs (EIAEDs).
* Unresolved toxicity greater than common terminology criteria for adverse events (CTCAE) grade 1 from previous anti-cancer therapy except alopecia (if applicable) unless agreed to by a GSK Medical Monitor and the Investigator.
* History of acute coronary syndromes (including unstable angina), coronary angioplasty, or stenting within the past 24 weeks.
* QTc interval ≥ 480 msecs.
* Class II, III, or IV heart failure as defined by the New York Heart Association (NYHA) functional classification system.
* Pregnant or lactating female.
* History or active hepatitis B or C.
* History of HIV infection.
* Subjects on chronic antifungal therapy.
* Unwillingness or inability to follow the procedures outlined in the protocol.",64.0,purpose study determine recommended dose regimen orally administered mek inhibitor gsk1120212 dosed combination everolimus subjects solid tumors escalation part study determine mtd combination explored expansion part subjects metastatic pancreatic cancer addition subjects kras mutant nonsmall cell lung cancer enrolled
NCT00199173,Comparing Hepatic Intra-arterial Injection of Yttrium-90 Microspheres Versus Fluorouracil (5FU) in Colorectal Cancer Metastatic to the Liver Only,"Colorectal Neoplasm, Secondary Malignant Neoplasm of Liver",SIR Spheres intra-arterial hepatic,INTERVENTIONAL,PHASE3,This is a Phase III trial comparing hepatic intra-arterial injection of Yttrium-90 microspheres (selective internal radiation \[SIR\] spheres) versus infusional intravenous (IV) 5FU in colorectal cancer metastatic to the liver only and refractory to standard IV chemotherapy.,"Inclusion Criteria:

* Histologically proven colorectal adenocarcinoma, metastatic to the liver only.
* Failure of prior chemotherapy for advanced colorectal cancer.
* Adequate laboratory values of hematologic, renal and liver function
* World Health Organization (WHO) performance status (PS) \<= 2
* Written consent

Exclusion Criteria:

* Pregnant or lactating patients
* Other tumor type than adenocarcinoma (leiomyosarcoma; lymphoma).
* Patients with cirrhosis or other chronic liver disease
* Thrombosis of the hepatic main artery of the portal vein
* Lung shunting \> 20% as determined by nuclear medicine breakthrough scan
* Patients with serum bilirubin \> 1.0 x upper limit of normal (ULN) or with AST and/or ALT and/or alkaline phosphatase \> 5 x ULN
* Patients with concurrent or within 4 week period administration of any other experimental drugs.
* Other serious illness or medical conditions.",,phase iii trial comparing hepatic intraarterial injection yttrium90 microspheres selective internal radiation sir spheres versus infusional intravenous iv 5fu colorectal cancer metastatic liver refractory standard iv chemotherapy
NCT01224873,"Diagnosis of Bone Metastases in Breast Cancer: Bone Scintigraphy, Fluoride-PET and FDG-PET",Breast Cancer,,OBSERVATIONAL,,"Breast cancer can metastasize to the bones, which leads to another treatment if bone metastases are detected. The purpose of the study is to determine, if fluoride PET/CT is superior to bone scintigraphy with technetium. On the other side, the investigators would like to see if FDG-PET/CT is a reliable alternative to dedicated bone imaging to detect bone metastases in patients with breast cancer.","Inclusion Criteria:

* histologically proven c. mammae
* clinically suspicion of bone metastases

Exclusion Criteria:

* age under 18 years
* diabetes mellitus
* pregnancy
* other known malignant disease",110.0,breast cancer metastasize bones leads another treatment bone metastases detected purpose study determine fluoride petct superior bone scintigraphy technetium side investigators would like see fdgpetct reliable alternative dedicated bone imaging detect bone metastases patients breast cancer
